,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
154,14158.94,12158.51,26910.94,9102.44,24367.05,3709.82,9687.39,5330.86,6962244.37,4187348.66,6018771.48,6267193.2,0.0,0.0,0.0,295822.6,155,2022-51,2022-12
155,4856.84,5634.04,7888.56,4692.11,4442.37,2098.1,4642.6,1133.6,313299.93,1116357.84,2010236.49,468874.09,0.0,0.0,0.0,97304.58,156,2022-52,2022-12
156,24244.0,19713.22,30547.84,19933.22,42676.22,7261.27,11142.24,10869.62,2143233.08,1888101.72,1097536.76,1420272.63,0.0,0.0,0.0,386157.27,157,2023-01,2023-01
157,6826.74,4377.31,19005.86,4748.78,24430.78,5383.08,9591.39,6381.87,3051734.72,2537077.13,2792928.21,2741838.6,0.0,0.0,0.0,161618.51,158,2023-02,2023-01
158,17300.76,18636.88,37952.25,16229.98,54804.28,8179.49,23854.46,11646.38,10441622.74,13357022.07,10210193.5,13624478.13,0.0,0.0,0.0,339362.86,159,2023-03,2023-01
159,18410.06,11936.1,32074.85,16663.1,31688.16,6101.37,10735.01,6876.21,5838280.1,8876616.3,3521607.77,7199464.89,0.0,0.0,0.0,198473.97,160,2023-04,2023-01
160,4635.77,2610.62,4686.93,1129.06,9835.65,1795.57,2412.27,1409.23,202653.22,508180.53,-38235.33,496272.46,0.0,0.0,0.0,34282.53,161,2023-05,2023-02
161,6355.45,8305.23,23754.63,11578.32,8299.45,4337.18,8567.35,3727.51,4035983.89,2843012.95,1944407.36,6123686.22,0.0,0.0,0.0,125917.98,162,2023-06,2023-02
162,12598.69,12054.84,35082.44,30080.38,30889.38,4884.61,23176.51,10719.48,12874503.86,14551874.3,11710560.99,18026087.67,0.0,0.0,0.0,176200.24,163,2023-07,2023-02
163,7664.8,5718.91,14683.25,6907.84,24808.25,1979.3,8555.32,2324.49,1681331.3,2283279.86,3249667.51,5346466.85,0.0,0.0,0.0,53669.97,164,2023-08,2023-02
164,5657.96,182.09,10485.88,4277.38,7160.21,1797.56,337.07,846.15,986972.01,1372706.17,-585886.8,561148.69,0.0,0.0,0.0,31298.12,165,2023-09,2023-03
165,15020.19,6173.94,16376.13,6138.67,14716.88,6724.17,9556.1,3742.7,3222886.67,5049593.01,2545624.73,2639124.53,0.0,0.0,0.0,121697.46,166,2023-10,2023-03
166,17861.5,21318.13,28763.63,8391.01,17177.25,5868.65,15570.92,8933.28,9304079.96,12352699.83,11777368.93,13048465.43,0.0,0.0,0.0,217794.41,167,2023-11,2023-03
167,11280.21,18293.97,32404.41,19396.67,29035.01,9138.68,17471.11,5337.86,8999219.86,4999948.46,9121193.92,8060733.24,0.0,0.0,0.0,225559.25,168,2023-12,2023-03
168,2805.97,2090.43,0.0,0.0,8442.54,2645.49,2434.33,689.92,-272363.37,603337.39,611080.11,0.0,0.0,0.0,0.0,37507.82,169,2023-13,2023-03
169,17913.62,21365.24,34512.37,17369.58,65121.89,7885.74,27755.22,6674.38,9366471.86,9693665.78,5525530.51,10496918.69,0.0,0.0,0.0,348143.69,170,2023-14,2023-04
170,6912.05,4176.36,9735.22,5302.04,20188.59,1722.5,8881.15,3616.65,5814403.42,6690824.88,4226900.08,6744078.16,0.0,0.0,0.0,138424.51,171,2023-15,2023-04
171,17580.68,9326.99,39521.04,16972.71,35601.94,5969.48,18726.39,5845.39,9764129.59,6387338.84,7542609.09,8655969.25,0.0,0.0,0.0,282919.12,172,2023-16,2023-04
172,3707.41,18252.94,15066.76,12182.6,7455.82,7072.82,9801.34,4621.32,-11969.33,-470101.91,515223.44,4260803.69,0.0,0.0,0.0,273970.11,173,2023-17,2023-04
173,2713.69,10458.61,29015.37,14139.94,18896.12,4637.95,16573.15,554.41,4295693.45,1349203.3,3157818.51,6680534.43,0.0,0.0,0.0,239145.86,174,2023-18,2023-05
174,21100.52,31684.49,84456.2,35511.16,42962.77,17353.13,17866.94,9972.08,19534003.46,19697415.56,23920734.37,35026735.8,0.0,0.0,0.0,596087.2,175,2023-19,2023-05
175,13313.33,16039.29,23970.41,15055.7,31080.18,10292.39,15169.28,5576.39,10936729.88,12621776.06,10540725.58,15530416.26,0.0,0.0,0.0,346607.17,176,2023-20,2023-05
176,1256.79,6349.56,14765.09,2142.45,9980.89,3689.34,885.49,2674.32,44261.48,-55007.06,545510.57,641586.42,0.0,0.0,0.0,105034.78,177,2023-21,2023-05
177,24034.97,28656.81,49599.99,14399.86,79070.51,10144.11,17171.95,8636.12,9168326.11,8641080.96,13110901.93,10321015.36,0.0,0.0,0.0,420885.81,178,2023-22,2023-06
178,16219.65,15902.88,42340.52,24121.26,46904.16,4884.25,21040.6,6152.36,21587190.36,20552057.95,20772537.06,19425322.08,0.0,0.0,0.0,353486.69,179,2023-23,2023-06
179,7933.17,13740.56,60532.48,23441.49,63420.57,6007.14,20731.26,5726.52,17833868.73,11635889.38,17259850.88,10706366.98,0.0,0.0,0.0,338396.4,180,2023-24,2023-06
180,16736.95,7452.89,44962.74,17980.48,33142.11,4115.01,19533.75,1503.23,1860235.62,2963324.42,2657343.87,1796825.75,0.0,0.0,0.0,204997.09,181,2023-25,2023-06
181,12916.8,16696.85,44048.79,16702.41,25192.56,5794.03,16470.54,1525.16,11000198.48,4975174.86,7337537.22,9451906.9,0.0,0.0,0.0,165627.85,182,2023-26,2023-06
