,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15,n_week,week_year,month_year
33,341.26,288.24,488.19,240.78,842.96,670.89,288.23,194.5,5265.66,11115.48,5264.33,27446.24,0.0,0.0,0.0,23092.65,34,2020-34,2020-08
34,355.99,256.47,387.82,257.87,396.66,389.22,191.69,213.18,16688.45,12172.82,8763.9,21615.5,0.0,0.0,0.0,26782.55,35,2020-35,2020-09
35,709.33,502.17,598.88,661.88,902.54,745.09,303.45,268.2,16932.71,27421.45,23982.46,19019.89,0.0,0.0,0.0,55914.93,36,2020-36,2020-09
36,378.58,69.69,325.79,226.37,278.35,296.45,238.38,114.05,9480.78,-537.2,337.77,0.0,0.0,0.0,0.0,9847.47,37,2020-37,2020-09
37,448.89,280.35,458.2,245.8,499.12,455.74,666.34,258.76,31681.86,19682.87,12655.43,18920.94,0.0,0.0,0.0,35754.29,38,2020-38,2020-09
38,790.15,440.28,434.56,320.6,716.09,577.37,476.34,282.14,40727.23,15503.99,36003.42,24780.16,0.0,0.0,0.0,60948.72,39,2020-39,2020-10
39,234.66,263.85,206.3,66.85,363.66,280.9,482.18,199.99,5445.57,11284.17,15699.49,11085.03,0.0,0.0,0.0,25611.54,40,2020-40,2020-10
40,1286.67,826.35,931.0,508.21,1168.28,738.58,1384.14,601.96,9074.15,2432.43,4618.72,5132.83,0.0,0.0,0.0,38289.37,41,2020-41,2020-10
41,741.88,540.47,629.74,385.69,495.94,337.41,535.81,229.28,15564.55,4099.42,10531.26,14355.72,0.0,0.0,0.0,30152.59,42,2020-42,2020-10
42,792.5,491.23,456.01,306.2,794.81,496.89,583.8,217.57,47990.93,13708.31,21891.27,17945.31,0.0,0.0,0.0,72864.21,43,2020-43,2020-10
43,1135.58,775.28,493.5,528.51,866.25,730.59,481.93,572.81,35046.36,18362.7,17503.96,18480.45,0.0,0.0,0.0,78698.86,44,2020-44,2020-11
44,689.23,462.03,568.99,459.5,317.43,266.18,506.98,296.02,-54.17,875.86,3695.69,13263.22,0.0,0.0,0.0,12275.89,45,2020-45,2020-11
45,265.72,44.37,93.08,272.14,38.2,388.01,255.82,98.29,17216.26,4257.39,6084.15,0.0,0.0,0.0,0.0,8959.93,46,2020-46,2020-11
46,819.66,785.22,737.01,757.56,738.51,1163.66,695.59,410.51,87153.17,44525.69,75409.92,53302.91,0.0,0.0,0.0,37513.39,47,2020-47,2020-11
47,993.71,689.52,1145.0,392.75,1132.27,571.93,717.03,229.77,21480.67,15925.1,30646.91,48524.14,0.0,0.0,0.0,41292.91,48,2020-48,2020-12
48,155.31,131.56,374.46,106.31,105.63,200.76,0.0,58.01,-648.32,2949.78,-129.92,-1125.28,0.0,0.0,0.0,22372.98,49,2020-49,2020-12
49,735.74,921.57,1020.14,365.44,1565.53,420.79,199.45,182.51,32017.73,16134.38,28120.95,42944.54,0.0,0.0,0.0,92484.01,50,2020-50,2020-12
